Montadora,Carro,Ano,Motor,Tipo de Peça,Marca da Peça,Código de Referência,Código Montadora OEM,Alertas Técnicos,Peças Relacionadas
Volkswagen,Gol G5 / G6 / Voyage / Saveiro,2008-2016,1.0 / 1.6 8V EA111,Velas de Ignição,NGK,PZFR6R-11D,101 905 601 F,Jogo 4 velas Green Plug ou Laser Platinum. Gap calibrado 1.1mm.,Cabos de Vela NGK ST-V25 / Bobina Bosch F 000 ZS0 210
Volkswagen,Gol G5 / G6 / Voyage / Saveiro,2008-2016,1.0 / 1.6 8V EA111,Bobina de Ignição,Bosch,F 000 ZS0 210,032 905 106 B,Bobina 4 saídas tipo pack modular. Trinca comum na base gera falha.,Jogo Cabos de Ignição NGK ST-V25 / Velas NGK
Chevrolet,Onix / Prisma / Spin / Cobalt,2012-2019,1.0 / 1.4 8V SPE/4,Pastilha de Freio Dianteira,Cobreq,N-388,95231012 / 52068329,Sistema Teves com antirruído. Modelos aro 14 e aro 15.,Disco Fremax BD 1440 / Fluido Bosch DOT 4
Chevrolet,Onix / Prisma / Spin / Cobalt,2012-2019,1.0 / 1.4 8V SPE/4,Pastilha de Freio Dianteira,Fras-le,PD/1301,95231012 / 52068329,Linha Ceramaxx com baixo desprendimento de pó preto.,Disco Fremax BD 1440 / Pinos Guia
Chevrolet,Onix / Prisma / Spin / Cobalt,2012-2019,1.0 / 1.4 8V SPE/4,Pastilha de Freio Dianteira,Nakata,NKF 1301P,95231012 / 52068329,Com placa antirruído e chanfro lateral de assentamento rápido.,Disco Nakata NKF 6440
Chevrolet,Onix / Prisma / Spin / Cobalt,2012-2019,1.0 / 1.4 8V SPE/4,Amortecedor Dianteiro,Cofap,GP33177 (Dir) / GP33178 (Esq),52033005 / 52033006,Turbogás pressurizado. Lado Direito e Esquerdo são diferentes pelo suporte da bieleta.,Kit Coxim Batente Cofap KSC03108S / Bieleta Nakata N 99252
Chevrolet,Onix / Prisma / Spin / Cobalt,2012-2019,1.0 / 1.4 8V SPE/4,Amortecedor Dianteiro,Monroe,749043SP (Dir) / 749044SP (Esq),52033005 / 52033006,Linha OESpectrum. Verificar alinhamento da torre após instalação.,Kit Batente Monroe / Coxim com Rolamento
Chevrolet,Onix / Prisma / Spin / Cobalt,2012-2019,1.0 / 1.4 8V SPE/4,Amortecedor Dianteiro,Nakata,HG 41185 (Dir) / HG 41186 (Esq),52033005 / 52033006,Amortecedor pressurizado de alta durabilidade.,Kit Batente e Coifa Nakata SK185S / Bieleta Nakata N 99252
Chevrolet,Onix / Prisma / Spin / Cobalt,2012-2019,1.0 / 1.4 8V SPE/4,Amortecedor Traseiro,Cofap,GB48243,52062572,Amortecedor Turbogás traseiro.,Kit Batente e Coifa Traseira Cofap KSC03205S
Chevrolet,Onix / Prisma / Spin / Cobalt,2012-2019,1.0 / 1.4 8V SPE/4,Amortecedor Traseiro,Nakata,HG 31187,52062572,Pressurizado a gás traseiro.,Kit Batente e Coifa Nakata
Chevrolet,Onix / Prisma / Spin / Cobalt,2012-2019,1.0 8V SPE/4,Kit de Embreagem,LuK,619 3099 00,24584282 / 24580645,Diâmetro 190mm 14 estrias. Sistema hidráulico com atuador central na caixa de câmbio.,Atuador Hidráulico LuK 510 0073 10 / Fluido DOT 4
Chevrolet,Onix / Prisma / Spin / Cobalt,2012-2019,1.0 8V SPE/4,Kit de Embreagem,Sachs,6098,24584282 / 24580645,Platô e disco 190mm 14 estrias. Atenção: comprar o atuador hidráulico separado.,Atuador Hidráulico Sachs 3182 600 197 / Retentor Traseiro Sabó 05703
Chevrolet,Onix / Prisma / Spin / Cobalt,2012-2019,1.4 8V SPE/4,Kit de Embreagem,LuK,620 3099 00,24584283,Diâmetro 200mm 14 estrias para motor 1.4. Não montar platô 190mm no motor 1.4.,Atuador Hidráulico LuK 510 0073 10 / Óleo Transmissão SAE 75W85 Sintético
Chevrolet,Onix / Prisma / Spin / Cobalt,2012-2019,1.0 / 1.4 8V SPE/4,Correia Dentada,Gates,40847X17XS,93353888,Correia sincronizadora 111 dentes HNBR.,Tensor de Correia Gates T43142 / Bomba d'água Urba UB0140
Chevrolet,Onix / Prisma / Spin / Cobalt,2012-2019,1.0 / 1.4 8V SPE/4,Bomba d'Água,Urba,UB0140,93385834 / 24579133,Bomba d'água para linha GM 1.0 e 1.4 8V Econoflex / SPE/4.,Válvula Termostática Wahler 4256.92 / Aditivo Tirreno
Chevrolet,Onix / Prisma / Spin / Cobalt,2012-2019,1.0 / 1.4 8V SPE/4,Velas de Ignição,NGK,BR8ES-D / BPR7E-D,93206675,Jogo com 4 velas NGK originais GM Flex.,Cabos de Ignição NGK SC-G73 / Bobina Delphi CE20118
Fiat,Palio / Siena / Strada / Uno / Mobi,2001-2020,1.0 / 1.4 8V Fire Flex,Pastilha de Freio Dianteira,Cobreq,N-534,7084534 / 7083072,Sistema Teves sem mola para aro 13 e aro 14 disco sólido.,Disco Fremax BD 4668 / Fluido Bosch DOT 4
Fiat,Palio / Siena / Strada / Uno / Mobi,2001-2020,1.0 / 1.4 8V Fire Flex,Pastilha de Freio Dianteira,Fras-le,PD/361,7084534 / 7083072,Pastilha linha leve Fire. Conferir desgaste do disco de freio.,Disco Fremax BD 4668
Fiat,Palio / Siena / Strada / Uno / Mobi,2001-2020,1.0 / 1.4 8V Fire Flex,Pastilha de Freio Dianteira,Nakata,NKF 1037P,7084534 / 7083072,Frenagem silenciosa de alta performance.,Disco Nakata NKF 6037 / Kit Reparo Pinça
Fiat,Palio / Siena / Strada / Uno / Mobi,2001-2020,1.0 / 1.4 8V Fire Flex,Amortecedor Dianteiro,Cofap,GP30130,51833075 / 51833076,Turbogás pressurizado dianteiro.,Kit Batente Dianteiro Cofap KSC04104S / Mola Helicoidal Cofap
Fiat,Palio / Siena / Strada / Uno / Mobi,2001-2020,1.0 / 1.4 8V Fire Flex,Amortecedor Dianteiro,Nakata,HG 33023,51833075,Pressurizado a gás dianteiro. Verificar pivô e terminal de direção.,Kit Batente Nakata SK223S / Terminal de Direção Nakata N 1056
Fiat,Palio / Siena / Strada / Uno / Mobi,2001-2020,1.0 / 1.4 8V Fire Flex,Amortecedor Traseiro,Cofap,GL12316,51833080,Turbogás traseiro Olhal duplo.,Kit Batente Traseiro Cofap KSC04202S
Fiat,Palio / Siena / Strada / Uno / Mobi,2001-2020,1.0 / 1.4 8V Fire Flex,Amortecedor Traseiro,Nakata,HG 31089,51833080,Amortecedor pressurizado traseiro.,Kit Batente e Coifa Traseira Nakata
Fiat,Palio / Siena / Strada / Uno / Mobi,2001-2020,1.0 8V Fire Flex,Kit de Embreagem,LuK,618 3017 00,55219984 / 55227748,Diâmetro 180mm 20 estrias. Cabo mecânico ou atuador hidráulico conforme ano.,Cabo de Embreagem Efrari / Garfo de Embreagem
Fiat,Palio / Siena / Strada / Uno / Mobi,2001-2020,1.0 8V Fire Flex,Kit de Embreagem,Sachs,6284,55219984 / 55227748,Platô e disco 180mm + rolamento mecânico.,Retentor Traseiro Sabó 05286 / Óleo Câmbio Tutela 75W80
Fiat,Palio / Siena / Strada / Uno / Mobi,2001-2020,1.4 8V Fire Flex,Kit de Embreagem,LuK,619 3012 00,55227749,Diâmetro 190mm 20 estrias exclusivo 1.4.,Retentor Sabó 05286 / Rolamento Guia
Fiat,Palio / Siena / Strada / Uno / Mobi,2001-2020,1.0 / 1.4 8V Fire Flex,Correia Dentada,Gates,40943X15XS,46736886,Correia dentada 129 dentes para motor Fire 8V.,Tensor de Correia Gates T43000 / Bomba d'Água Urba UB0763
Fiat,Palio / Siena / Strada / Uno / Mobi,2001-2020,1.0 / 1.4 8V Fire Flex,Correia Dentada,Contitech,CT1049,46736886,Substituição preventiva recomendada a cada 50.000 km.,Tensor Rolltens RT6030 / Aditivo Radiador Paraflu
Fiat,Palio / Siena / Strada / Uno / Mobi,2001-2020,1.0 / 1.4 8V Fire Flex,Bomba d'Água,Urba,UB0763,55259960 / 46515970,Rotor de alta performance Fire 8V. Acompanha junta de vedação.,Válvula Termostática Valclei 2244.87 / Aditivo Paraflu
Fiat,Palio / Siena / Strada / Uno / Mobi,2001-2020,1.0 / 1.4 8V Fire Flex,Velas de Ignição,NGK,BKR6E / BKR6E-D,46480309,Jogo com 4 velas NGK originais Fire Flex.,Cabos de Ignição NGK SC-T09 / Bobina Magneti Marelli BI0017MM
Hyundai,HB20 / Creta,2012-2019,1.0 12V 3 Cilindros / 1.6 16V,Pastilha de Freio Dianteira,Cobreq,N-1256,58101-1RA00 / 58101-04A00,Sistema Mando com chanfro e mola antirruído. HB20 1.0 e 1.6 aro 14 e aro 15.,Disco Fremax BD 3624 / Fluido Bosch DOT 4
Hyundai,HB20 / Creta,2012-2019,1.0 12V 3 Cilindros / 1.6 16V,Pastilha de Freio Dianteira,Fras-le,PD/1360,58101-1RA00,Ceramaxx Lonaflex para HB20.,Disco Fremax BD 3624 / Pinos Guia
Hyundai,HB20 / Creta,2012-2019,1.0 12V 3 Cilindros / 1.6 16V,Pastilha de Freio Dianteira,Nakata,NKF 1360P,58101-1RA00,Jogo dianteiro cerâmico com plaqueta metálica antirruído.,Disco Nakata NKF 6360
Hyundai,HB20 / Creta,2012-2019,1.0 12V 3 Cilindros / 1.6 16V,Amortecedor Dianteiro,Cofap,GP33246 (Dir) / GP33247 (Esq),54650-1S000 / 54660-1S000,Turbogás pressurizado. Direito e Esquerdo específicos pelo encaixe da bieleta.,Kit Coxim Batente Cofap KSC32101S / Bieleta Nakata N 99270
Hyundai,HB20 / Creta,2012-2019,1.0 12V 3 Cilindros / 1.6 16V,Amortecedor Dianteiro,Monroe,749065SP (Dir) / 749066SP (Esq),54650-1S000 / 54660-1S000,Linha Monroe OESpectrum pressurizado a gás.,Kit Batente Monroe / Coxim de Amortecedor
Hyundai,HB20 / Creta,2012-2019,1.0 12V 3 Cilindros / 1.6 16V,Amortecedor Dianteiro,Nakata,HG 41246 (Dir) / HG 41247 (Esq),54650-1S000 / 54660-1S000,Linha Nakata HG pressurizado a gás.,Kit Coxim e Batente Nakata SK246S / Bieleta Nakata N 99270
Hyundai,HB20 / Creta,2012-2019,1.0 12V 3 Cilindros / 1.6 16V,Amortecedor Traseiro,Cofap,GB48270,55300-1S000,Turbogás traseiro Olhal/Espiga.,Kit Batente e Coifa Traseira Cofap KSC32201S
Hyundai,HB20 / Creta,2012-2019,1.0 12V 3 Cilindros / 1.6 16V,Amortecedor Traseiro,Nakata,HG 31248,55300-1S000,Amortecedor traseiro pressurizado.,Kit Batente e Coifa Traseira Nakata
Hyundai,HB20,2012-2019,1.0 12V 3 Cilindros Kappa,Kit de Embreagem,LuK,619 3138 00,41100-02510 / 41200-02510,Diâmetro 190mm e 24 estrias. Platô + disco + rolamento mecânico.,Cabo de Embreagem / Óleo de Câmbio 75W85 Sintético
Hyundai,HB20,2012-2019,1.0 12V 3 Cilindros Kappa,Kit de Embreagem,Valeo,228392,41100-02510,Kit Valeo 190mm 24 estrias. Não forçar eixo piloto no encaixe.,Retentor do Volante / Guia do Rolamento
Hyundai,HB20,2012-2019,1.6 16V Gamma,Kit de Embreagem,LuK,622 3336 00,41100-26010,Diâmetro 215mm 24 estrias motor Gamma 1.6.,Atuador Hidráulico ou Rolamento / Óleo Sintético
Hyundai,HB20,2012-2019,1.0 12V 3 Cilindros Kappa,Velas de Ignição,NGK,LKR7D-10D / SILZKR7B11,18846-10060,Jogo 3 velas (motor 3 cilindros) Laser Platinum ou Níquel. Calibração 1.0mm.,Bobina de Ignição Delphi GN10633
Ford,Ka / Fiesta / Ecosport,2008-2018,1.0 / 1.6 8V Zetec Rocam / 1.0 12V 3 Cilindros TiVCT,Pastilha de Freio Dianteira,Cobreq,N-140,2S65-2K021-AA / 7S55-2K021-AA,Sistema Teves sem mola para discos sólidos e ventilados linha Rocam.,Disco Fremax BD 4661 / Fluido Bosch DOT 4
Ford,Ka / Fiesta / Ecosport,2008-2018,1.0 / 1.6 8V Zetec Rocam / 1.0 12V 3 Cilindros TiVCT,Pastilha de Freio Dianteira,Fras-le,PD/60,7S55-2K021-AA,Pastilha original linha Ford Rocam e Sigma.,Disco Fremax BD 4661
Ford,Ka / Fiesta / Ecosport,2008-2018,1.0 / 1.6 8V Zetec Rocam / 1.0 12V 3 Cilindros TiVCT,Pastilha de Freio Dianteira,Nakata,NKF 1060P,7S55-2K021-AA,Com antirruído e trava de guia.,Disco Nakata NKF 6061
Ford,Ka / Fiesta / Ecosport,2008-2018,1.0 / 1.6 8V Zetec Rocam / 1.0 12V 3 Cilindros TiVCT,Amortecedor Dianteiro,Cofap,GP32431 (Dir) / GP32432 (Esq),7S55-18045-AA,Turbogás dianteiro.,Kit Batente Cofap KSC02102S / Bieleta Nakata N 99042
Ford,Ka / Fiesta / Ecosport,2008-2018,1.0 / 1.6 8V Zetec Rocam / 1.0 12V 3 Cilindros TiVCT,Amortecedor Dianteiro,Nakata,HG 33024,7S55-18045-AA,Linha pressurizada a gás.,Kit Batente Nakata SK024S / Coxim com Rolamento
Ford,Ka / Fiesta / Ecosport,2008-2018,1.0 / 1.6 8V Zetec Rocam,Kit de Embreagem,LuK,619 3005 00,XS61-7540-C1B,Diâmetro 190mm 17 estrias. Sistema com atuador hidráulico central na caixa.,Atuador Hidráulico LuK 510 0011 10 / Retentor Sabó 05584
Ford,Ka / Fiesta / Ecosport,2008-2018,1.0 / 1.6 8V Zetec Rocam,Kit de Embreagem,Sachs,6583,XS61-7540-C1B,Platô e disco 190mm + comprar atuador separado.,Atuador Hidráulico Sachs 3182 654 150 / Fluido Freio DOT 4
Ford,Ka / Fiesta / Ecosport,2008-2018,1.0 / 1.6 8V Zetec Rocam,Bomba d'Água,Urba,UB0938,XS6E-8501-AD,Bomba d'água motor Zetec Rocam com rotor de alumínio.,Carcaça da Válvula Termostática de Alumínio Valclei / Válvula Wahler
Ford,Ka / Fiesta / Ecosport,2008-2018,1.0 / 1.6 8V Zetec Rocam,Velas de Ignição,NGK,TR6B-10,XS6F-12405-AA,Vela com rosca cônica sem arruela. Apertar estritamente no torque recomendado de 15Nm.,Cabos de Ignição NGK SC-F30 / Bobina Bosch F 000 ZS0 212
Renault,Sandero / Logan / Duster / Kwid,2007-2020,1.0 16V D4D / 1.6 8V K7M / 1.6 16V K4M / 1.0 3 Cilindros B4D,Pastilha de Freio Dianteira,Cobreq,N-448,410602192R / 7701207066,Sistema Lucas/TRW com grampo mola superior.,Disco Fremax BD 4667 / Fluido Bosch DOT 4
Renault,Sandero / Logan / Duster / Kwid,2007-2020,1.0 16V D4D / 1.6 8V K7M / 1.6 16V K4M / 1.0 3 Cilindros B4D,Pastilha de Freio Dianteira,Fras-le,PD/65,410602192R,Pastilha dianteira Ceramaxx para linha Renault.,Disco Fremax BD 4667
Renault,Sandero / Logan / Duster / Kwid,2007-2020,1.0 16V D4D / 1.6 8V K7M / 1.6 16V K4M / 1.0 3 Cilindros B4D,Pastilha de Freio Dianteira,Nakata,NKF 1065P,410602192R,Com antirruído e guia de assentamento.,Disco Nakata NKF 6067
Renault,Sandero / Logan / Duster / Kwid,2007-2020,1.0 / 1.6,Amortecedor Dianteiro,Cofap,GP32845,8200742812,Turbogás pressurizado dianteiro.,Kit Batente Cofap KSC06102S / Bieleta Nakata N 99182
Renault,Sandero / Logan / Duster / Kwid,2007-2020,1.0 / 1.6,Amortecedor Dianteiro,Nakata,HG 33026,8200742812,Amortecedor dianteiro pressurizado.,Kit Batente Nakata SK026S / Coxim do Amortecedor
Renault,Sandero / Logan / Duster / Kwid,2007-2020,1.0 16V D4D,Kit de Embreagem,LuK,618 3097 00,7701476383,Diâmetro 180mm e 26 estrias. Acionamento hidráulico ou cabo mecânico.,Atuador Hidráulico LuK 510 0098 10 / Cabo Efrari
Renault,Sandero / Logan / Duster / Kwid,2007-2020,1.6 8V K7M,Kit de Embreagem,LuK,620 3119 00,7701476804,Diâmetro 200mm 26 estrias exclusivo 1.6.,Atuador Hidráulico LuK / Retentor Volante Sabó
Renault,Sandero / Logan / Duster / Kwid,2007-2020,1.0 / 1.6,Correia Dentada,Gates,5473XS / 5493XS,7701477028,Correia sincronizadora de alta precisão.,Kit Tensor e Polia Guia Gates K015493XS / Bomba d'água Urba
Toyota,Corolla / Fielder,2003-2019,1.8 16V 1ZZ-FE / 2.0 16V Dual VVT-i,Pastilha de Freio Dianteira,Cobreq,N-1377,04465-02220 / 04465-12610,Sistema Sumitomo / Akebono com placa antirruído de inox.,Disco Fremax BD 5661 / Fluido Bosch DOT 5.1
Toyota,Corolla / Fielder,2003-2019,1.8 16V 1ZZ-FE / 2.0 16V Dual VVT-i,Pastilha de Freio Dianteira,Fras-le,PD/528,04465-02220,Ceramaxx cerâmica de alta frenagem e longa durabilidade.,Disco Fremax BD 5661 / Kit de Travas de Inox
Toyota,Corolla / Fielder,2003-2019,1.8 16V 1ZZ-FE / 2.0 16V Dual VVT-i,Pastilha de Freio Dianteira,Nakata,NKF 1128P,04465-02220,Com plaqueta dupla de absorção de vibração e silício.,Disco Nakata NKF 6561
Toyota,Corolla / Fielder,2003-2019,1.8 16V 1ZZ-FE / 2.0 16V Dual VVT-i,Amortecedor Dianteiro,Cofap,GP32883 (Dir) / GP32884 (Esq),48510-02550 / 48520-02550,Turbogás pressurizado dianteiro. Lado Direito e Esquerdo específicos.,Kit Batente Cofap KSC18101S / Bieleta Nakata N 99071
Toyota,Corolla / Fielder,2003-2019,1.8 16V 1ZZ-FE / 2.0 16V Dual VVT-i,Amortecedor Dianteiro,Monroe,749021SP (Dir) / 749022SP (Esq),48510-02550 / 48520-02550,Linha Monroe OESpectrum premium japonesa.,Kit Batente Monroe / Coxim com Rolamento
Toyota,Corolla / Fielder,2003-2019,1.8 16V 1ZZ-FE / 2.0 16V Dual VVT-i,Amortecedor Dianteiro,Nakata,HG 41021 (Dir) / HG 41022 (Esq),48510-02550 / 48520-02550,Amortecedor pressurizado Nakata HG.,Kit Coxim e Batente Nakata SK021S / Bieleta Nakata N 99071
Toyota,Corolla / Fielder,2003-2019,1.8 16V 1ZZ-FE / 2.0 16V Dual VVT-i,Amortecedor Traseiro,Cofap,GB48123,48530-02430,Turbogás traseiro pressurizado.,Kit Batente Traseiro Cofap KSC18201S
Toyota,Corolla / Fielder,2003-2019,1.8 16V 1ZZ-FE / 2.0 16V Dual VVT-i,Amortecedor Traseiro,Nakata,HG 31023,48530-02430,Amortecedor traseiro pressurizado.,Kit Batente Traseiro Nakata
Toyota,Corolla,2003-2019,1.8 16V 1ZZ-FE / 2.0 Dual VVT-i,Velas de Ignição,NGK,ILKAR7B11 / IFR6T11,90919-01253 / 90919-01210,Velas Iridium Laser de ponta fina 0.6mm. Durabilidade de 100.000 km.,Bobina de Ignição Delphi GN10314 / Denso
Honda,Civic / Fit / City / HR-V,2006-2019,1.4 / 1.5 / 1.8 16V i-VTEC / 2.0 16V i-VTEC,Pastilha de Freio Dianteira,Cobreq,N-1372,45022-SNA-A00 / 45022-TR0-A01,Sistema Nissin com placas antirruído e molas de abertura de pinça.,Disco Fremax BD 5664 / Fluido Bosch DOT 5.1
Honda,Civic / Fit / City / HR-V,2006-2019,1.4 / 1.5 / 1.8 16V i-VTEC / 2.0 16V i-VTEC,Pastilha de Freio Dianteira,Fras-le,PD/529,45022-SNA-A00,Ceramaxx especial para pinça Nissin.,Disco Fremax BD 5664
Honda,Civic / Fit / City / HR-V,2006-2019,1.4 / 1.5 / 1.8 16V i-VTEC / 2.0 16V i-VTEC,Pastilha de Freio Dianteira,Nakata,NKF 1129P,45022-SNA-A00,Com placas de aço inoxidável e silenciador cerâmico.,Disco Nakata NKF 6564
Honda,Civic / Fit / City / HR-V,2006-2019,1.8 16V / 2.0 16V,Amortecedor Dianteiro,Cofap,GP32943 (Dir) / GP32944 (Esq),51605-SNA-A02 / 51606-SNA-A02,Turbogás pressurizado dianteiro New Civic. Lados específicos.,Kit Batente Cofap KSC08101S / Bieleta Nakata N 99058
Honda,Civic / Fit / City / HR-V,2006-2019,1.8 16V / 2.0 16V,Amortecedor Dianteiro,Monroe,749033SP (Dir) / 749034SP (Esq),51605-SNA-A02 / 51606-SNA-A02,Linha Monroe OESpectrum.,Kit Batente Monroe / Rolamento Superior
Honda,Civic / Fit / City / HR-V,2006-2019,1.8 16V / 2.0 16V,Amortecedor Dianteiro,Nakata,HG 41033 (Dir) / HG 41034 (Esq),51605-SNA-A02 / 51606-SNA-A02,Amortecedor pressurizado Nakata HG.,Kit Coxim e Batente Nakata SK033S / Bieleta Nakata N 99058
Honda,Civic / Fit / City / HR-V,2006-2019,1.8 16V / 2.0 16V,Velas de Ignição,NGK,IZFR6K-11S / DILKAR7G11GS,9807B-561BW / 12290-R1A-H01,Velas Laser Iridium dupla ponta para motores i-VTEC. 100.000 km.,Bobina de Ignição Delphi GN10324 / Denso
Jeep,Renegade / Compass / Fiat Toro,2015-2022,1.8 16V E.torQ / 2.0 16V Multijet Diesel / 1.3 Turbo T270,Pastilha de Freio Dianteira,Cobreq,N-1763,77366536 / 68247439AA,Sistema TRW Mando com mola de retorno para discos ventilados 305mm.,Disco Fremax BD 4679 / Fluido DOT 4 Plus
Jeep,Renegade / Compass / Fiat Toro,2015-2022,1.8 16V E.torQ / 2.0 16V Multijet Diesel / 1.3 Turbo T270,Pastilha de Freio Dianteira,Fras-le,PD/1510,77366536,Pastilha Ceramaxx para SUVs compactos.,Disco Fremax BD 4679 / Pinos Guia
Jeep,Renegade / Compass / Fiat Toro,2015-2022,1.8 16V E.torQ / 2.0 16V Multijet Diesel / 1.3 Turbo T270,Pastilha de Freio Dianteira,Nakata,NKF 1510P,77366536,Pastilha cerâmica de alta dissipação térmica.,Disco Nakata NKF 6779
Jeep,Renegade / Compass / Fiat Toro,2015-2022,1.8 16V E.torQ / 2.0 16V Multijet Diesel,Amortecedor Dianteiro,Cofap,GP33290 (Dir) / GP33291 (Esq),52003890 / 52003891,Turbogás pressurizado dianteiro Renegade / Toro.,Kit Batente Cofap KSC04112S / Bieleta Nakata N 99295
Jeep,Renegade / Compass / Fiat Toro,2015-2022,1.8 16V E.torQ / 2.0 16V Multijet Diesel,Amortecedor Dianteiro,Nakata,HG 41290 (Dir) / HG 41291 (Esq),52003890 / 52003891,Amortecedor Nakata HG pressurizado.,Kit Batente Nakata SK290S / Bieleta Nakata N 99295
Jeep,Renegade / Compass / Fiat Toro,2015-2022,1.8 16V E.torQ Evo Flex,Kit de Embreagem,LuK,622 3405 00,55268487,Diâmetro 220mm 20 estrias. Atuador hidráulico central LuK.,Atuador Hidráulico LuK 510 0110 10 / Óleo Sintético Tutela
Jeep,Renegade / Compass / Fiat Toro,2015-2022,1.8 16V E.torQ Evo Flex,Velas de Ignição,NGK,ZKR7AI-8,55249868,Vela de Ignição Iridium original Fiat/Jeep. Gap calibrado 0.8mm.,Bobina de Ignição Magneti Marelli BI0080MM
